Well	Content	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data	Raw Data
	Time	0 min 	4 min 15 s	8 min 30 s	12 min 45 s	17 min 	21 min 15 s	25 min 30 s	29 min 44 s	33 min 59 s	38 min 14 s	42 min 29 s	46 min 44 s	50 min 58 s	55 min 13 s	59 min 28 s	63 min 43 s	67 min 58 s	72 min 13 s	76 min 27 s	80 min 42 s	84 min 58 s	89 min 13 s	93 min 28 s	97 min 44 s	101 min 58 s	106 min 14 s	110 min 29 s	114 min 43 s	118 min 58 s	123 min 13 s	127 min 27 s	131 min 42 s	135 min 57 s	140 min 12 s	144 min 26 s	148 min 41 s	152 min 56 s	157 min 11 s	161 min 25 s	165 min 40 s	169 min 54 s	174 min 9 s	178 min 24 s	182 min 38 s	186 min 53 s	191 min 8 s	195 min 22 s	199 min 37 s	203 min 52 s	208 min 6 s
E01	Sample X49	1397952	1490822	1545578	1574170	1567886	1527918	1478925	1384095	1293097	1171065	1046173	856742	704432	449458	259285	165328	128957	107891	95182	87206	81821	77732	73750	70795	69266	67033	65261	64108	63883	61575	60331	59071	60628	57196	56051	54947	56235	56233	53735	55252	53615	52188	50781	51432	51136	51157	50716	48605	49312	49176
E02	Sample X50	1381637	1522428	1561096	1578037	1533757	1460807	1357218	1225138	1076776	934017	717138	519916	299900	171421	125773	103908	92872	82996	71651	70187	61885	68890	62601	55640	57058	60898	53728	54991	52626	49543	51006	47037	48877	46535	47002	47372	47443	50027	46958	49505	48570	48008	47853	47836	47022	47327	46911	46742	46920	48175
E03	Sample X51	1436832	1503962	1538781	1552976	1535220	1503405	1452437	1347841	1259248	1152680	1004836	819316	629570	504862	385310	355560	334558	345450	347448	353387	351942	347625	347813	348603	353795	354413	368100	362112	362137	362348	367451	373551	387708	377446	369961	390560	389983	383987	388421	411960	368990	380155	378806	384047	398557	389377	397770	388775	386031	398158
E04	Sample X52	1417425	1496068	1554466	1570562	1554595	1521407	1459678	1394505	1324263	1208395	1097450	969546	824606	694126	619587	550610	540917	513553	488472	467917	470836	440560	414418	415967	405505	389122	389200	403130	384871	395301	398413	407103	417553	416108	410826	396812	424315	416956	409763	415365	423111	419758	408107	395711	442701	410893	426116	400510	391003	389493
E05	Sample X53	1358966	1469193	1518438	1555722	1551382	1511138	1473257	1386732	1275561	1141976	1003045	819073	635533	408086	212301	138832	107477	87022	77501	71696	63670	61808	59856	56256	54415	53336	49201	50348	49437	46545	45690	42932	42615	42028	40538	40093	40106	39130	38030	37440	37962	36245	38426	36566	34918	33776	35027	35046	35733	35621
E06	Sample X54	1340458	1454272	1537375	1570652	1566152	1548636	1484327	1404568	1281821	1193890	1021502	850801	638242	416328	217620	133298	104533	87180	75676	67832	64182	59343	55473	54097	51026	50316	47105	45752	44405	44366	44967	43100	41003	38597	39225	36061	39632	36097	34833	34568	38222	32365	33498	32387	32785	33315	31175	30330	29703	29880
E07	Sample X55	1348037	1445861	1519841	1554218	1565200	1549618	1486536	1414107	1323207	1177990	1042793	877818	685752	467321	250672	156527	120341	99787	87805	77955	71231	68717	64293	62560	57685	57007	55250	53133	53831	51738	48646	50737	45808	47653	43900	43660	46677	42380	41667	43220	41898	40042	39912	43806	39200	38331	36607	37058	37398	36931
E08	Sample X56	1390335	1476931	1544157	1575757	1571750	1514180	1464970	1384071	1244570	1084712	956955	775065	554897	323282	178870	125113	95195	83038	81760	75393	68783	65342	65298	60581	64120	65477	54880	53006	51431	49980	49325	47726	47230	47013	46035	45118	43517	42903	41690	41636	40473	41003	41177	40105	39228	41295	38162	39368	37673	38226
E09	Sample X57	1360053	1458287	1527523	1566300	1568906	1533016	1480420	1413166	1265362	1172868	992813	853577	628447	389908	221302	142610	108392	91983	83876	68607	63582	62327	57527	54036	51287	48972	48942	47325	44717	43527	41890	40817	38732	38173	37237	38291	36346	35571	36787	33158	33067	36028	31876	32161	31853	34277	30378	35460	32595	29377
E10	Sample X58	1361156	1461808	1535653	1565521	1562583	1535403	1451137	1367587	1256798	1118175	984171	831075	603918	407673	222726	135203	102353	85690	74228	68766	70170	60435	56716	53272	53148	55721	50222	47068	46142	46853	46382	42842	42168	40546	40172	39668	41068	37992	39132	37403	37456	40966	35148	34636	34956	34766	34010	34066	34360	33440
E11	Sample X59	1367115	1482811	1537743	1561011	1553811	1520565	1452626	1365558	1267390	1093730	969681	805867	575533	375201	198413	131367	97401	83141	72570	63876	61131	57608	55277	53665	49610	47940	47008	44052	44477	42763	42013	40665	43150	39812	36872	44565	37493	34553	34770	33300	33943	33037	32853	32610	31325	32730	31640	29968	31190	29643
E12	Sample X60	1371771	1479546	1546652	1549462	1532707	1481995	1406210	1293705	1193083	1075517	906287	731081	553188	447446	391658	335831	338616	287797	236851	210188	176680	161750	144958	125032	116127	111141	103263	101047	92193	98440	93236	95411	98940	100638	106478	103901	106787	105230	112191	105587	97867	108076	105567	105308	108115	109081	107397	116265	106358	100253
F01	Sample X61	1403490	1487903	1546710	1587462	1588206	1555166	1461876	1410507	1285407	1137906	1049837	855512	650248	376702	203248	136308	100921	87207	75117	69121	64692	61042	57835	56220	53118	50618	49855	48626	45935	46067	44212	42937	42118	46191	41267	42057	38901	39287	39150	37503	37233	41273	36751	37246	34411	37836	33406	33360	35885	32060
